Id,SalePrice
1461,122153.85250400616
1462,138721.54209183675
1463,172158.6729462356
1464,186971.08431534213
1465,192388.62607242257
1466,173560.83824067173
1467,179576.59445428476
1468,184481.13688833255
1469,166673.18724081354
1470,117561.91944875776
1471,192461.6140058347
1472,95821.54663185914
1473,116563.15756636829
1474,162143.6749429881
1475,127397.02190668059
1476,442329.7453703704
1477,250888.54343112244
1478,303751.75194931775
1479,274403.39558131725
1480,505555.84722222225
1481,309514.4319753156
1482,199021.91542427443
1483,189714.74171086794
1484,177528.7086313896
1485,163106.43739935587
1486,196244.97227932405
1487,318048.1416746966
1488,252491.41052594286
1489,206697.5357689951
1490,214989.33751554298
1491,196244.97227932405
1492,122666.17214018024
1493,168335.64611373373
1494,291280.5121527778
1495,279137.2579849075
1496,219748.8657160194
1497,198974.98558950922
1498,155763.43102609948
1499,155763.43102609948
1500,160931.4110260995
1501,172443.85581636868
1502,146172.65451460305
1503,304063.1834608844
1504,229016.38547854518
1505,211314.58578753684
1506,179955.04569115097
1507,226182.8154761905
1508,187379.44745656822
1509,163655.79991974434
1510,147173.90572074064
1511,147173.90572074064
1512,177471.001222421
1513,159241.36554474433
1514,160492.67570158764
1515,233375.8350815851
1516,159076.27918002295
1517,140831.0117679119
1518,140960.8416242067
1519,211659.58206729873
1520,136362.79268742644
1521,138632.95976663436
1522,171112.83518679003
1523,115483.44866093287
1524,123096.16953177667
1525,123975.48117948993
1526,124477.26689377564
1527,99973.10384963769
1528,125918.21708021527
1529,141521.2930999677
1530,157340.45563934694
1531,132235.69971955128
1532,103605.82217261904
1533,149457.43561343141
1534,126507.91648497718
1535,151717.04130647192
1536,122479.20710588279
1537,91588.48557692308
1538,181002.60215367234
1539,199807.8570130814
1540,139629.96173878206
1541,152546.81080368985
1542,145812.26878228004
1543,183235.078125
1544,90669.90637254901
1545,119152.78364713934
1546,133213.3319734829
1547,144931.43373435654
1548,143384.1797843969
1549,116988.63776918546
1550,147740.6864325824
1551,123222.18385673236
1552,143707.390527099
1553,154493.05555555556
1554,112903.54444739169
1555,169005.804062755
1556,108792.86802350428
1557,115771.29275412088
1558,108773.5134120605
1559,125802.5170272436
1560,159350.6378214713
1561,153652.37103576248
1562,129296.77277121632
1563,117066.42815701135
1564,160376.18055555556
1565,142986.27491094434
1566,203797.77661913648
1567,82576.4630952381
1568,198415.89120198495
1569,125943.54600694444
1570,120611.81060062343
1571,135877.36638621794
1572,143049.1055999677
1573,226347.60064996674
1574,141958.3973874073
1575,197143.780648859
1576,229997.5608577426
1577,206697.5357689951
1578,151930.67244162087
1579,139307.81816123187
1580,182690.85403026408
1581,143031.41020500718
1582,127340.25878613748
1583,351991.52170138893
1584,240122.01426351425
1585,142225.58111577964
1586,75554.16666666666
1587,109386.7515500992
1588,141754.32238740733
1589,115436.39179566273
1590,136099.99779553252
1591,120661.56063988095
1592,135797.1366139739
1593,116775.16573660714
1594,134921.60336538462
1595,130508.70492788462
1596,244298.3436285936
1597,159516.0354958388
1598,187144.42197507824
1599,163961.73978814826
1600,183951.795466496
1601,65362.05357142857
1602,123249.70448047268
1603,103574.67499225553
1604,279650.43176834134
1605,247016.18722245842
1606,161535.6934270122
1607,164010.1778340081
1608,203441.98981596474
1609,196439.92624870353
1610,168453.35718889354
1611,144661.7346572113
1612,190244.0338541667
1613,176805.9533599624
1614,129994.35421323548
1615,91455.70887445887
1616,91455.70887445887
1617,93762.4797077922
1618,129163.43943788299
1619,129351.57055963817
1620,178484.02083594404
1621,136711.55749223602
1622,138889.35405995985
1623,266909.09826774406
1624,220270.32773290278
1625,116288.33097460073
1626,166306.2812892761
1627,176669.05282400508
1628,259407.94908588435
1629,175185.53766121645
1630,337570.8932676519
1631,187534.23072579078
1632,275611.64372228953
1633,164761.4974191971
1634,179368.36352899327
1635,182789.71120928152
1636,165304.86135904666
1637,170379.69596125733
1638,197810.21595535657
1639,174494.4024996033
1640,255488.4051724138
1641,178537.4797275158
1642,216700.21789176713
1643,233242.88926642397
1644,223564.70073852158
1645,165170.49945630002
1646,151166.05255266913
1647,170796.5793383834
1648,146736.40572074064
1649,136821.8245351293
1650,120522.96260373825
1651,123217.03942665493
1652,92278.13446969698
1653,97639.07196969698
1654,165459.2248459512
1655,164284.33380266913
1656,162234.83613474306
1657,165459.2248459512
1658,166888.47563595843
1659,129748.87921800134
1660,146086.38678208258
1661,485665.6302083334
1662,403704.28125
1663,403416.8839285714
1664,484112.66865079367
1665,364028.0401785714
1666,290889.22682485264
1667,375471.0940766875
1668,357103.0520833334
1669,312370.80194931774
1670,340942.2126322751
1671,256895.56414911206
1672,500555.84722222225
1673,326865.71328965056
1674,252491.41052594286
1675,190049.11046086793
1676,192405.917087641
1677,194545.7265058347
1678,472345.9603174603
